"Name";"ontologyTermName";"ontologyTermIRI";"score";"validated";"review"
"respiratory failure";"Respiratory failure";"http://purl.obolibrary.org/obo/HP_0002878";"100";"false";"false"
"sexual dysfunction";"Male sexual dysfunction";"http://purl.obolibrary.org/obo/HP_0040307";"86.49";"false";"false"
"achondroplasia";"Bronchodysplasia";"http://purl.obolibrary.org/obo/HP_0006533";"62.5";"false";"false"
"glabellar frown line";"Prominent glabella";"http://purl.obolibrary.org/obo/HP_0002057";"59.46";"false";"false"
"testicular germ cell tumour";"Testicular neoplasm";"http://purl.obolibrary.org/obo/HP_0010788";"71.11";"false";"false"
"lymphatic filariasis";"Aplasia of lymphatic vessels";"http://purl.obolibrary.org/obo/HP_0045006";"58.54";"false";"false"
"pollakiuria";"Pollakisuria";"http://purl.obolibrary.org/obo/HP_0100515";"88";"false";"false"
"chronic neuropathic pain";"Chronic axonal neuropathy";"http://purl.obolibrary.org/obo/HP_0007267";"76.6";"false";"false"
"bupicavaine toxicity";"Adverse drug response";"http://purl.obolibrary.org/obo/HP_0020172";"33.33";"false";"false"
"neuromyelitis optica";"Optic neuropathy";"http://purl.obolibrary.org/obo/HP_0001138";"58.82";"false";"false"
"psychotic disorder";"Psychotic episodes";"http://purl.obolibrary.org/obo/HP_0000725";"73.33";"false";"false"
"alpha mannosidosis";"Ectopic anus";"http://purl.obolibrary.org/obo/HP_0004397";"51.61";"false";"false"
"seasonal influenza infection";"Recurrent Haemophilus influenzae infections";"http://purl.obolibrary.org/obo/HP_0005376";"68";"false";"false"
"ophthalmic graves disease";"Graves disease";"http://purl.obolibrary.org/obo/HP_0100647";"74.29";"false";"false"
"ischemia";"Cerebral ischemia";"http://purl.obolibrary.org/obo/HP_0002637";"75";"false";"false"
"human immunodeficiency virus infection";"Humoral immunodeficiency";"http://purl.obolibrary.org/obo/HP_0005363";"64";"false";"false"
"oral cancer";"Oral ulcer";"http://purl.obolibrary.org/obo/HP_0000155";"69.57";"false";"false"
"dental caries";"Carious teeth";"http://purl.obolibrary.org/obo/HP_0000670";"100";"false";"false"
"urogenital cancer";"Abnormality of the genitourinary system";"http://purl.obolibrary.org/obo/HP_0000119";"60.61";"false";"false"
"legionella infection";"Salmonella osteomyelitis";"http://purl.obolibrary.org/obo/HP_0005661";"63.41";"false";"false"
"verruca vulgaris";"Verrucae";"http://purl.obolibrary.org/obo/HP_0200043";"66.67";"false";"false"
"contrast medium for intravenous urography";"Duplicated collecting system";"http://purl.obolibrary.org/obo/HP_0000081";"54.12";"false";"false"
"hematopoietic stem cell transplantation";"History of bone marrow transplant";"http://purl.obolibrary.org/obo/HP_0032557";"85.71";"false";"false"
"clostridium difficile associated diarrhea";"Clostridium difficile colitis";"http://purl.obolibrary.org/obo/HP_0032168";"67.69";"false";"false"
"inflammatory skin condition";"Inflammatory abnormality of the skin";"http://purl.obolibrary.org/obo/HP_0011123";"72";"false";"false"
"gastritis";"Gastritis";"http://purl.obolibrary.org/obo/HP_0005263";"100";"false";"false"
"arthralgia";"Arthralgia";"http://purl.obolibrary.org/obo/HP_0002829";"100";"false";"false"
"attention deficit hyperactivity disorder";"Attention deficit hyperactivity disorder";"http://purl.obolibrary.org/obo/HP_0007018";"100";"false";"false"
"female hypogonadism";"Female hypogonadism";"http://purl.obolibrary.org/obo/HP_0000134";"100";"false";"false"
"vitamin b1 deficiency";"Low levels of vitamin B1";"http://purl.obolibrary.org/obo/HP_0100503";"100";"false";"false"
"hypersalivation";"Excessive salivation";"http://purl.obolibrary.org/obo/HP_0003781";"100";"false";"false"
