,DRUG_NAME,STRUCT_ID,TARGET_NAME,TARGET_CLASS,ACCESSION,GENE,SWISSPROT,ACT_VALUE,ACT_UNIT,ACT_TYPE,ACT_COMMENT,ACT_SOURCE,RELATION,MOA,MOA_SOURCE,ACT_SOURCE_URL,MOA_SOURCE_URL,ACTION_TYPE,TDL,ORGANISM,NEW_ID
8,(S)-nicardipine,5,Voltage-gated L-type calcium channel,Ion channel,Q01668|Q13936,CACNA1D|CACNA1C,CAC1D_HUMAN|CAC1C_HUMAN,,,,Mechanism of Action,DRUG LABEL,,1.0,DRUG LABEL,http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/022276s003lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/022276s003lbl.pdf,BLOCKER,Tclin|Tclin|Tclin|Tclin,Homo sapiens,HGNC:1391
10,(S)-nitrendipine,6,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,Q01668,CACNA1D,CAC1D_HUMAN,8.4,,IC50,Recombinant Cav1.3 calcium channel complexes expressed in tsA-cells,IUPHAR,=,1.0,IUPHAR,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL251230,GATING INHIBITOR,Tclin,Homo sapiens,HGNC:1391
11,(S)-nitrendipine,6,Voltage-dependent L-type calcium channel subunit alpha-1F,Ion channel,O60840,CACNA1F,CAC1F_HUMAN,6.0,,IC50,,IUPHAR,~,,,,,GATING INHIBITOR,Tclin,Homo sapiens,HGNC:1393
12,(S)-nitrendipine,6,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,P22002,Cacna1c,CAC1C_RAT,6.0,,IC50,,IUPHAR,=,,,,,GATING INHIBITOR,,Rattus norvegicus,RGD:2245
13,(S)-nitrendipine,6,Voltage-dependent L-type calcium channel subunit alpha-1S,Ion channel,Q02485,Cacna1s,CAC1S_RAT,6.0,,IC50,,IUPHAR,=,,,,,GATING INHIBITOR,,Rattus norvegicus,RGD:70983
14,(S)-nitrendipine,6,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,,,,Mechanism of Action,SCIENTIFIC LITERATURE,,1.0,SCIENTIFIC LITERATURE,,https://pubmed.ncbi.nlm.nih.gov/17276408,BLOCKER,Tclin,Homo sapiens,HGNC:1390
22,phenylbutanoic acid,24,Histone deacetylase 2,Enzyme,Q92769,HDAC2,HDAC2_HUMAN,4.19,,IC50,Inhibition of human recombinant HDAC2,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:4853
157,acetylcholine,65,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.11,,EC50,Activation of M1-ACh receptor-FLASH/CFP expressed in HEK293 cells assessed as FRET signal,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
172,acetylcholine,65,Muscarinic acetylcholine receptor,GPCR,P08482|P08483|P08485|P08911|P10980,Chrm1|Chrm3|Chrm4|Chrm5|Chrm2,ACM1_RAT|ACM3_RAT|ACM4_RAT|ACM5_RAT|ACM2_RAT,7.92,,IC50,Compound was tested in vitro for its binding affinity to muscarinic acetylcholine receptor from rat cortical homogenates using [3H]OXO-M as radioligand,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
182,acepromazine,73,Major prion protein,Surface antigen,P04156,PRNP,PRIO_HUMAN,5.3,,EC50,Half maximal inhibition of Prion protein PrPsc formation was assayed in ScN2a cells,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:9449
270,adenosine phosphate,92,Proto-oncogene tyrosine-protein kinase Src,Kinase,P12931,SRC,SRC_HUMAN,7.0,,IC50,Inhibition of p60c-src expressed in chick embryo fibroblast,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:11283
283,adiphenine,94,Muscarinic acetylcholine receptor,GPCR,P08482|P08483|P08485|P08911|P10980,Chrm1|Chrm3|Chrm4|Chrm5|Chrm2,ACM1_RAT|ACM3_RAT|ACM4_RAT|ACM5_RAT|ACM2_RAT,7.45,,Kd,Affinity for the Muscarinic acetylcholine receptor,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
308,alcuronium,109,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.0,,Kd,,IUPHAR,=,,,,,ALLOSTERIC MODULATOR,Tclin,Homo sapiens,HGNC:1950
315,alcuronium,109,Acetylcholine receptor,Ion channel,P02708|P11230|Q07001,CHRNA1|CHRNB1|CHRND,ACHA_HUMAN|ACHB_HUMAN|ACHD_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin,Homo sapiens,HGNC:1955
501,amiodarone,176,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.2010000000000005,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
572,amitriptyline,180,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.83,,Ki,,WOMBAT-PK,=,,,,,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
599,amitriptyline,180,Muscarinic acetylcholine receptor,GPCR,P08482|P08483|P08485|P08911|P10980,Chrm1|Chrm3|Chrm4|Chrm5|Chrm2,ACM1_RAT|ACM3_RAT|ACM4_RAT|ACM5_RAT|ACM2_RAT,6.52,,IC50,Inhibition of radioligand [3H]QNB binding to muscarinic acetylcholine receptor in the rat forebrain in the presence of zinc,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
615,amlodipine,183,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,,,,,WOMBAT-PK,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1491,BLOCKER,Tclin,Homo sapiens,HGNC:1390
618,amlodipine,183,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,Q01668,CACNA1D,CAC1D_HUMAN,7.0,,Ki,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1491,BLOCKER,Tclin,Homo sapiens,HGNC:1391
621,amlodipine,183,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,P22002,Cacna1c,CAC1C_RAT,8.7,,Ki,Binding affinity against rat L-type calcium channel,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2245
626,amodiaquine,186,Amyloid beta A4 protein,Unclassified,P05067,APP,A4_HUMAN,5.4,,IC50,Modulation of human wild-type APP695 expressed in SH-SY5Y cells assessed as inhibition of amyloid beta (1 to 40 residues) production measured after 24 hrs,CHEMBL,=,,,,,,,Homo sapiens,HGNC:620
642,amoxapine,191,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.5420000000000025,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
733,octatropine methylbromide,223,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,,DRUGBANK,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1578,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
792,aprindine,231,Sodium/calcium exchanger 1,Transporter,P32418,SLC8A1,NAC1_HUMAN,4.301,,IC50,,WOMBAT-PK,=,,,,,,Tbio,Homo sapiens,HGNC:11068
795,aranidipine,234,Voltage-gated L-type calcium channel,Ion channel,Q01668|Q13936,CACNA1D|CACNA1C,CAC1D_HUMAN|CAC1C_HUMAN,,,,Mechanism of Action,DRUG LABEL,,1.0,KEGG DRUG,,http://www.kegg.jp/entry/D01562,BLOCKER,Tclin|Tclin|Tclin|Tclin,Homo sapiens,HGNC:1391
821,aripiprazole,242,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.169,,Ki,,PDSP,=,,,,,,Tclin,Homo sapiens,HGNC:1950
871,astemizole,249,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.59,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
944,atorvastatin,257,Histone deacetylase 2,Enzyme,Q92769,HDAC2,HDAC2_HUMAN,4.65,,IC50,Inhibition of recombinant HDAC2 (unknown origin) after 10 mins by fluorimetric analysis,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:4853
957,atracurium,259,Acetylcholine receptor,Ion channel,P02708|P11230|Q07001,CHRNA1|CHRNB1|CHRND,ACHA_HUMAN|ACHB_HUMAN|ACHD_HUMAN,7.77,,IC50,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1360,ANTAGONIST,Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin,Homo sapiens,HGNC:1955
964,atropine,260,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,9.31,,Ki,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL517712,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
972,atropine,260,Muscarinic acetylcholine receptor M1,GPCR,P08482,Chrm1,ACM1_RAT,9.59,,Ki,Ability to displace [3H]pirenzepine (PZ) from M1 receptor in rat cortex homogenate,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
981,atropine,260,Muscarinic acetylcholine receptor,GPCR,P08482|P08483|P08485|P08911|P10980,Chrm1|Chrm3|Chrm4|Chrm5|Chrm2,ACM1_RAT|ACM3_RAT|ACM4_RAT|ACM5_RAT|ACM2_RAT,9.52,,Ki,The compound was tested for inhibition of [3H]NMS binding against muscarinic acetylcholine receptor in rat brain,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
993,azathioprine,269,Ras-related C3 botulinum toxin substrate 1,Enzyme,P63000,RAC1,RAC1_HUMAN,,,,,WOMBAT-PK,,,,,,,Tbio,Homo sapiens,HGNC:9801
